종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"011070","LG이노텍","KOSPI","전기전자","335000","20000","6.35","7928480845000"
"066570","LG전자","KOSPI","전기전자","125500","4000","3.29","20537800657000"
"066575","LG전자우","KOSPI","전기전자","59900","1100","1.87","1029440920800"
"037560","LG헬로비전","KOSPI","서비스업","5020","-30","-0.59","388783262300"
"051910","LG화학","KOSPI","화학","589000","-1000","-0.17","41578890027000"
"051915","LG화학우","KOSPI","화학","288500","-2000","-0.69","2218218800000"
"079550","LIG넥스원","KOSPI","기계","60900","-300","-0.49","1339800000000"
"006260","LS","KOSPI","기타금융","48250","450","0.94","1553650000000"
"010120","LS ELECTRIC","KOSPI","전기전자","42200","1950","4.84","1266000000000"
"000680","LS네트웍스","KOSPI","유통업","3690","60","1.65","290783129040"
"229640","LS전선아시아","KOSPI","기타금융","7570","50","0.66","231830334030"
"001120","LX인터내셔널","KOSPI","유통업","27950","-200","-0.71","1083342000000"
"108670","LX하우시스","KOSPI","화학","53200","1500","2.90","477080044000"
"108675","LX하우시스우","KOSPI","화학","26200","200","0.77","27047046000"
"383800","LX홀딩스","KOSPI","기타금융","9840","-110","-1.11","750601989600"
"38380K","LX홀딩스1우","KOSPI","기타금융","13500","-200","-1.46","19781347500"
"023150","MH에탄올","KOSPI","음식료품","9420","30","0.32","69505714920"
"035420","NAVER","KOSPI","서비스업","309000","-4000","-1.28","50691167265000"
"181710","NHN","KOSPI","서비스업","34700","-100","-0.29","1301871650500"
"400760","NH올원리츠","KOSPI","서비스업","5220","10","0.19","220284000000"
"005940","NH투자증권","KOSPI","증권","11750","50","0.43","3490148172250"
"005945","NH투자증권우","KOSPI","증권","10800","0","0.00","203806454400"
"338100","NH프라임리츠","KOSPI","서비스업","4830","10","0.21","90127800000"
"034310","NICE","KOSPI","서비스업","16850","100","0.60","638316755000"
"008260","NI스틸","KOSPI","철강금속","4680","105","2.30","133848547560"
"004250","NPC","KOSPI","화학","8730","-30","-0.34","320565600000"
"004255","NPC우","KOSPI","화학","4370","-10","-0.23","23073600000"
"010060","OCI","KOSPI","화학","99000","4500","4.76","2361087729000"
"178920","PI첨단소재","KOSPI","화학","43050","650","1.53","1264220162100"
"005490","POSCO","KOSPI","철강금속","276500","-2000","-0.72","24107159877500"
"010950","S-Oil","KOSPI","화학","81400","100","0.12","9164239268800"
"010955","S-Oil우","KOSPI","화학","49700","-200","-0.40","199889771900"
"034120","SBS","KOSPI","서비스업","44000","-50","-0.11","803113608000"
"005090","SGC에너지","KOSPI","전기가스업","51000","800","1.59","748527204000"
"001380","SG글로벌","KOSPI","운수장비","1805","15","0.84","81160278115"
"004060","SG세계물산","KOSPI","유통업","671","5","0.75","135827148160"
"001770","SHD","KOSPI","철강금속","28950","-50","-0.17","35170718100"
"002360","SH에너지화학","KOSPI","화학","1185","-30","-2.47","131693470050"
"009160","SIMPAC","KOSPI","기계","6910","90","1.32","452117955560"
"123700","SJM","KOSPI","운수장비","4300","85","2.02","67101061400"
"025530","SJM홀딩스","KOSPI","유통업","3415","-5","-0.15","50999637320"
"034730","SK","KOSPI","기타금융","227000","5500","2.48","16831897683000"
"011790","SKC","KOSPI","화학","132500","0","0.00","5017549485000"
"018670","SK가스","KOSPI","유통업","117500","2000","1.73","1084553670000"
"001740","SK네트웍스","KOSPI","유통업","4415","50","1.15","1095748461505"
"001745","SK네트웍스우","KOSPI","유통업","71500","5400","8.17","8125832000"
"006120","SK디스커버리","KOSPI","기타금융","40200","200","0.50","765321771000"
"006125","SK디스커버리우","KOSPI","기타금융","30650","100","0.33","41636645750"
"210980","SK디앤디","KOSPI","서비스업","29400","500","1.73","652390821600"
"068400","SK렌터카","KOSPI","서비스업","10400","50","0.48","491772736000"
"395400","SK리츠","KOSPI","서비스업","6210","20","0.32","962677503720"
"302440","SK바이오사이언스","KOSPI","의약품","147000","500","0.34","11245500000000"
"326030","SK바이오팜","KOSPI","서비스업","79400","-200","-0.25","6218072050000"
"402340","SK스퀘어","KOSPI","기타금융","57700","2600","4.72","8162678846700"
"361610","SK아이이테크놀로지","KOSPI","전기전자","124000","3000","2.48","8840901408000"
"03473K","SK우","KOSPI","기타금융","200000","3000","1.52","113227000000"
"096770","SK이노베이션","KOSPI","화학","201500","500","0.25","18631811146000"
"096775","SK이노베이션우","KOSPI","화학","122000","0","0.00","152307972000"
"001510","SK증권","KOSPI","증권","870","13","1.52","411153448770"
"001515","SK증권우","KOSPI","증권","3590","-55","-1.51","14045925260"
"285130","SK케미칼","KOSPI","화학","125000","2000","1.63","2202597500000"
"28513K","SK케미칼우","KOSPI","화학","68700","300","0.44","145329972300"
"017670","SK텔레콤","KOSPI","통신업","55000","0","0.00","12035822920000"
"000660","SK하이닉스","KOSPI","전기전자","128500","0","0.00","93548303902500"
"064960","SNT모티브","KOSPI","운수장비","43150","850","2.01","630988318400"
"100840","SNT에너지","KOSPI","기계","18650","50","0.27","140000160150"
"003570","SNT중공업","KOSPI","운수장비","8260","0","0.00","274667277220"
"036530","SNT홀딩스","KOSPI","기타금융","16000","50","0.31","260862176000"
"005610","SPC삼립","KOSPI","음식료품","82500","100","0.12","711893242500"
"011810","STX","KOSPI","유통업","4200","380","9.95","120210106800"
"077970","STX엔진","KOSPI","기계","12250","2810","29.77","281859074000"
"071970","STX중공업","KOSPI","기계","4895","695","16.55","138851452520"
"002820","SUN&L","KOSPI","종이목재","4800","-100","-2.04","60518347200"
"084870","TBH글로벌","KOSPI","섬유의복","1805","10","0.56","37646558295"
"002710","TCC스틸","KOSPI","철강금속","9760","380","4.05","229360000000"
"002900","TYM","KOSPI","기계","1550","20","1.31","235012777850"
"024070","WISCOM","KOSPI","화학","3030","55","1.85","46439107140"
"037270","YG PLUS","KOSPI","서비스업","7180","90","1.27","455423163800"
"000500","가온전선","KOSPI","전기전자","23500","250","1.08","97768154500"
"000860","강남제비스코","KOSPI","화학","24400","600","2.52","158600000000"
"035250","강원랜드","KOSPI","서비스업","26050","-150","-0.57","5573150025000"
"011420","갤럭시아에스엠","KOSPI","서비스업","2440","-20","-0.81","67221131360"
"002100","경농","KOSPI","화학","12400","0","0.00","242079930000"
"009450","경동나비엔","KOSPI","전기전자","46100","650","1.43","671612091200"
"267290","경동도시가스","KOSPI","전기가스업","23100","-350","-1.49","136183878600"
"012320","경동인베스트","KOSPI","기타금융","33300","-50","-0.15","78755265900"
"000050","경방","KOSPI","유통업","14800","300","2.07","405745996000"
"214390","경보제약","KOSPI","의약품","8950","30","0.34","213966397000"
"012610","경인양행","KOSPI","화학","6280","20","0.32","261099572200"
"009140","경인전자","KOSPI","전기전자","30950","2050","7.09","48616167150"
"013580","계룡건설","KOSPI","건설업","35900","800","2.28","320619561300"
"012200","계양전기","KOSPI","기계","3585","0","0.00","116871000000"
"012205","계양전기우","KOSPI","기계","6770","0","0.00","9478000000"
"002140","고려산업","KOSPI","음식료품","3335","5","0.15","83172982375"
"010130","고려아연","KOSPI","철강금속","529000","3000","0.57","9982230000000"
"002240","고려제강","KOSPI","철강금속","21200","500","2.42","487600000000"
"009290","광동제약","KOSPI","의약품","7220","170","2.41","378478544220"
"017040","광명전기","KOSPI","전기전자","2330","30","1.30","100976642950"
"017900","광전자","KOSPI","전기전자","2850","25","0.88","165139724550"
"037710","광주신세계","KOSPI","유통업","179000","6500","3.77","286400000000"
"030610","교보증권","KOSPI","증권","7660","50","0.66","495244247360"
"339770","교촌에프앤비","KOSPI","유통업","15000","-50","-0.33","374738100000"
"007690","국도화학","KOSPI","화학","52000","400","0.78","468552032000"
"005320","국동","KOSPI","유통업","2340","35","1.52","128847363840"
"001140","국보","KOSPI","운수창고업","1490","-10","-0.67","99147389280"
"002720","국제약품","KOSPI","의약품","5160","10","0.19","99464624400"
"083420","그린케미칼","KOSPI","화학","9680","80","0.83","232320000000"
"014530","극동유화","KOSPI","화학","3980","-25","-0.62","138780291600"
"014280","금강공업","KOSPI","철강금속","8280","140","1.72","242847075960"
"014285","금강공업우","KOSPI","철강금속","12950","0","0.00","7638881250"
"008870","금비","KOSPI","비금속광물","64100","-200","-0.31","64100000000"
"001570","금양","KOSPI","화학","4550","140","3.17","226183184500"
"002990","금호건설","KOSPI","건설업","10300","150","1.48","377329417200"
"002995","금호건설우","KOSPI","건설업","29700","150","0.51","8680300200"
"011780","금호석유","KOSPI","화학","160500","1000","0.63","4862482962000"
"011785","금호석유우","KOSPI","화학","83200","-200","-0.24","251554035200"
"214330","금호에이치티","KOSPI","운수장비","1730","30","1.76","340060384080"
"001210","금호전기","KOSPI","전기전자","2140","0","0.00","44642580660"
"073240","금호타이어","KOSPI","화학","4010","30","0.75","1151913750870"
"092440","기신정기","KOSPI","기계","4660","15","0.32","136072000000"
"000270","기아","KOSPI","운수장비","78000","300","0.39","31618341066000"
"024110","기업은행","KOSPI","은행","10900","0","0.00","8112876398300"
"013700","까뮤이앤씨","KOSPI","건설업","2225","0","0.00","100463823000"
"004540","깨끗한나라","KOSPI","종이목재","4235","15","0.36","157714334855"
"004545","깨끗한나라우","KOSPI","종이목재","22100","300","1.38","8092136000"
"001260","남광토건","KOSPI","건설업","11300","0","0.00","111067858200"
"008350","남선알미늄","KOSPI","철강금속","2370","0","0.00","261124443300"
"008355","남선알미우","KOSPI","철강금속","22600","400","1.80","6958314000"
"004270","남성","KOSPI","유통업","3020","45","1.51","109360723200"
"003920","남양유업","KOSPI","음식료품","400000","2500","0.63","288000000000"
"003925","남양유업우","KOSPI","음식료품","192000","0","0.00","31999104000"
"025860","남해화학","KOSPI","화학","9390","0","0.00","466484335770"
"005720","넥센","KOSPI","화학","4210","80","1.94","225420143170"
"005725","넥센우","KOSPI","화학","3450","-50","-1.43","12422070000"
"002350","넥센타이어","KOSPI","화학","6480","110","1.73","632887842960"
"002355","넥센타이어1우B","KOSPI","화학","3185","-15","-0.47","20702500000"
"003580","넥스트사이언스","KOSPI","광업","15000","-100","-0.66","632487555000"
"251270","넷마블","KOSPI","서비스업","102500","2000","1.99","8810233955000"
"090350","노루페인트","KOSPI","화학","10850","250","2.36","217000000000"
